,tweet,score
0,"I fucking love you, @Lesdoggg

I really just needed to tell you that ✌️",0.1431703574
1,Bruno Mars - Live In Harlem is incredible. Coolest guy alive 😎.,0.1452166922
2,Sass level: expert 😂 https://t.co/TLiSWbUyzt,0.1254841774
3,And that you did! Thanks for the laughs 👍🏻 https://t.co/1xAnnAlCy7,0.1474091939
4,Told him I’m not going out then he does this 😭😭😭 https://t.co/C9mLFGY4F0,0.0889424834
5,The beach is classsss 😊🌅🎥🌴,0.2419790982
6,@ChrisWisniewsk1 It be great😀 thanks Mate👍,0.1889205584
7,@hisotalus Or male colleagues calling you ladies......😐,0.0809763941
8,@ChrisWisniewsk1 Oh Thanks Chris. I wish😂😂😂,0.157787035
9,When you plan to go out for a couple then end up steamin😬🙈,0.1550829496
10,"Dave does the dab.
I'm a bit disappointed, my man ! Honestly, the phrase alone sounds like a porno 😁😁😁 https://t.co/uvu2KxvM4f",0.2077760725
11,When ur mum texts you from New York asking what makeup you want 😍😍 thank u,0.208433823
12,"Magaaaa booked with my gal, another holiday @abbeymarko 👭💗☀️😈🏖",0.2445370167
13,"I hate wearing bras, they hurt my back and the straps dig in to my skin, might just stop wearing them non stop 🤨❌‼️",0.1291383469
14,"@joannaccherry Scotland loves you, and that’s all that really matters! 😉 🏴󠁧󠁢󠁳󠁣󠁴󠁿",0.1431703574
15,@alexmcniven @ScotlandSky @ScottishFA What gave it away 😜😜,0.1758386319
16,When leaving drinks turn into a bit of a session and now you don’t know what your name is. 🍻,0.1467514434
17,@mmarianop El moderno Prometeo 💕,0.15552145
18,The excitement for Cammy's birthday weekend is sooooo real!!! Cannot wait to see the smiles on his face for the whole weekend!!! 😁😁😁💞💞💞,0.369801944
19,#Siri thinks she’s gonna win. I never quit. #Scottish accent activate 😂 (sorry my Scots fam 🤭) https://t.co/fyHXUQbhog,0.1254841774
20,"It's a fitting tribute to Jack that he finally seen the boy's lift the Holy Grail. 🇳🇬 💚 🏆

RIP Jack https://t.co/ESup65V3Ju",0.2298472557
21,When ur in the house having a party with Alexia and ur dads controlling her from Spain on his phone 😫😤😂 @bigscougs,0.099612658
22,Why does some idiot choose to run about the train track when I’m trying to get home 🤦🏼‍♀️🤦🏼‍♀️ 🚂,0.1276035957
23,Wow honestly makes a massive change staying in for the weekend 😲💁🏼‍♀️,0.1281882628
24,@L0s3roftheyear @SteelerFayy Hud on.... how am I gettin the tab 😂,0.1254841774
25,@molly_ella_pups hi der!! I a pal off @paddyscousedog ❤️❤️🙋‍♂️🙋‍♂️,0.3075348973
26,My favourite line from Shrek 2 is “some gender confused wolf” fucking howling 😂😭,0.1186874223
27,😂😂😂😂💩🏴󠁧󠁢󠁳󠁣󠁴󠁿 https://t.co/vY5G4StY40,0.1654607908
28,@mrdavidhaye 👏🏻👏🏻nice night of boxing well done to your lads 👌🏻🥊,0.2264854199
29,@nellclrkin She loves you 😘😘 Louise Bonnici number one fan,0.2117956588
30,When 1 turns into 10 😊😊😊😊😊,0.3446612585
31,"You know I luv ye , I always huv...(in a really bad accent)😜🏴󠁧󠁢󠁳󠁣󠁴󠁿 https://t.co/IixLBgePbd",0.1425856903
32,@SteelerFayy @L0s3roftheyear You cannot go to hive 😂,0.1254841774
33,@Denald Menu mewah 😍,0.1588832858
34,#TheEgyiptianKing #MoSalah even being mentioned on #LastLeg #LFC #YNWA 😁,0.1421471899
35,@PupZathin You'll get 'em soon enough 😘,0.1605642038
36,I ❤️Jason Bateman. That is all,0.1638529562
37,@scottm1901 hope they dipped his float aswell. 😂,0.1254841774
38,"If anyone has any pictures of videos of @samjefferson69 last night please send me them, I will pay good money 😭😂",0.1186874223
39,@adulescent @mouldycake @marksandspencer @schuh @gucci @Radley_London @newlook Also love the coat! 😍,0.1588832858
40,"🔥 @ Edinburgh, United Kingdom https://t.co/DYIOZuJqaH",0.1194913396
41,@Brendanmuir10 Should've messaged you earlier man 😭,0.1025359936
42,"📷 revel_house | clean bandit @ Edinburgh, United Kingdom https://t.co/73xKuD9ZwL",0.1407586056
43,@dannywilliamsx @georgialxx_ @SteelerFayy Naw 😂 what’s the hedge fir?,0.1254841774
44,@TheSPFLRadar One of my only skills in life is ‘not bad at twitter’. Delighted this was up to standard 🎉,0.1632682891
45,This is so funny 😂😂😂 https://t.co/jpgkyOCZ6k,0.157787035
46,This 👏 is 👏 an 👏 important 👏 tweet 👏 as 👏 you 👏 can 👏 tell 👏 from 👏 these 👏 emojis 👏,0.5653730907
47,So could go out tnight 😭😭,0.0957392385
48,"Last night in the Burgh 👭💕 @ Edinburgh, United Kingdom https://t.co/enWPtJhADz",0.1893590587
49,"@EllemurrayXX happy birthday beuat!! Hope you having the best day, missin ya💃🏽xx",0.1629759556
50,"One Meal A Day |  Day 6 - Watch it here 👉 https://t.co/b9eaB1OilJ 👀
. @ Edinburgh, United… https://t.co/t10I6Y2QTC",0.1424395235
51,Pretending the whisky shots aren’t killing me 💀 @ Usquabae https://t.co/18K6ixHjWN,0.0942044873
52,Our album Telegraphing is being streamed in full on @RadioSaltire right now 🤘🎶🎸 https://t.co/TPb4Qp5LMW,0.1862895564
53,"@thebigpostie @FamousFive1875 Glad to hear that mate !
Take it you'll now follow your local team "" Motherwell "" 🤣😉😆",0.1730614631
54,"Tomorrow’s match:
🆚 @StenhousemuirFC 
🏆 @Ladbrokes League 2
📍 Ochilview 
🕒 3:00 pm KO
💡 @cmcprop @Bakerfield_FM… https://t.co/XxwgVLoGbr",0.2143535774
55,Love my girls @KayDeas13 @aileenclark1 that’s all 😍😍 also #pished,0.208433823
56,"Feliz de conocer otro hermoso lugar❤️❤️ en Edinburgh, United Kingdom https://t.co/TZXkNAcD5T",0.2183731638
57,@fiona_hanrahan  😔 https://t.co/fVoVVVt9Ho,0.098662574
58,@graeme_from_IT @ScotNational @DC_Thomson And almost no subscribers. 😂😂😂😂,0.1739384638
59,Brilliant absolutely brilliant ❤️ https://t.co/cFFaQmnFE6,0.1638529562
60,@GaryHowie1 Delighted for the big tidy bastard! 😍,0.1588832858
61,Oh thats brings back great memories! 😀 https://t.co/wWp0x4Qe8j,0.1508441131
62,"@thebigpostie @FamousFive1875 Hi John  How's the move going !
Hopefully you've settled in through there ? 👍",0.1474091939
63,@SACKA07 Lol 😂,0.1254841774
64,"Wow, great result for @EdinburghRugby the tanker continues to turn!!👍 https://t.co/kN6Y3ixtR8",0.1474091939
65,@TheBlairNewman Blocked for missing out Shinnie 😉,0.1431703574
66,😂 whaaaaaat... https://t.co/m35ks9xEpz,0.1254841774
67,Brutal seeing ur mum upset . Horrible feeling 😒,0.0819995615
68,@ProfScottThinks Cllr Arthur I can't find a suitable emoji for that 😍,0.1588832858
69,"💥FIGHT ANNOUNCEMENT 💥 

This is a fight that’s got me buzzing, Big thanks to MTK for sorting this for me. 

When I… https://t.co/CwzlIKCuiq",0.1309654316
70,@MU_ST @lewiscampbell21 read this 👍🏽,0.1474091939
71,🙄 Boris said something similar yesterday...hopefully this will come back to haunt them both! 😂 https://t.co/QkCpl1yRUE,0.1254841774
72,@samp0llockX Aye a ken 💖,0.161368121
73,"Edinburgh, you're looking super dramatic this evening... 😍❤️
.
.
.
#edinburgh #scotland #castle… https://t.co/okrPXePBVa",0.2134034934
74,🔺💭🔺 em Camera Obscura and World of Illusions https://t.co/EDaRQYnaXo,0.1243879266
75,#firstdates I should just not watch it 😭😂,0.1186874223
76,Some shift from the lads @EdinburghRugby 🔥🙌🏼 @duncan_weir nerves of steel. 💥,0.171161295
77,👏👏👏👏👏 #gorocks https://t.co/3mdqLyuL6a,0.2993495578
78,@PrimeTimeKPhill 😂👀 @a_rob111,0.1300884309
79,@jamiekborthwick This team are amazing. 😍,0.1588832858
80,"Holy shit!!!! Now that was a game of rugby! Well done @duncan_weir. That game management was just 👌🏽! 

👏🏽⚫️🔴 @EdinburghRugby #ULSvEDI",0.2345976759
81,🎉🥂🎉🥂 https://t.co/17bN9ZhtlY,0.2172038296
82,"Unreal effort from all the @EdinburghRugby boys! @carkey05 &amp; @duncan_weir though, take a bow 🙌🏼🙌🏼🙌🏼",0.2318935906
83,Ain't my fault. 🤷🏾‍♂️,0.1184681722
84,@EdinburghRugby Yah beauty 😅😅,0.1353504348
85,Woo hoo @EdinburghRugby ❤️🖤❤️🖤,0.2183731638
86,I already won the nba east 💁🏾‍♂️😂 https://t.co/UVNBBAgXdl,0.1584447855
87,@LamineLachhab @skemp445 😨,0.0991010743
88,@jamieeden_ @katiemack85 @AwkwardGinge 😂😂,0.1416356062
89,@dannywilliamsx @AwkwardGinge 😂😂😂 like a periscope is even an issue in this shit show of a league,0.157787035
90,“Do you wanty just down them?” 💃🏻 @ Usquabae https://t.co/W5GgN8gS2K,0.1629759556
91,@abbilambertx Haha counting the days (60 if you are asking) 😆xx,0.1392238544
92,"#woodwoodpecker #picapau #elpajaroloco ❤ @ Edinburgh, United Kingdom https://t.co/YY46KDl4xc",0.1638529562
93,@Mason_6 Your better 💁🏻‍♂️,0.1422933567
94,@fraser1980 Media print this and people will believe thats what happened 🤦🏻‍♂️,0.1184681722
95,👏👏👏👏 https://t.co/YItvqF5nZL,0.261346196
96,My Friday night😍😝🍓🍓 https://t.co/LdeutVsJYd,0.2877292991
97,"@AwkwardGinge You won’t stand for it 😂😂😂😂

You live tweet games wee man, off yer high horse",0.1739384638
98,"Red Castle ❤️🏴󠁧󠁢󠁳󠁣󠁴󠁿 #edinburgh #edinburghcastle #scotland @ Edinburgh, United Kingdom https://t.co/I5xugYovnR",0.1638529562
99,@kaitlynffff Have fun boo😝💃🏽,0.1938902288
100,@sleigh_andrew Iniesta &amp, xavi are a yellow away from missing the derby I believe also. 😂
101,Edinburgh I love U 💓,0.1578601184
102,😂😂I was so sick when I woke up to rain lmfaooo. I knew it was a dub. https://t.co/u8MQqXxS4c,0.1416356062
103,😴😴😴😴,0.0859460645
104,@jimmymccaff No reason why not. Going to try to get along to as many games as I can. Sure you'll get @ThistleTweet fans' support too 😉,0.1431703574
105,Errr Louise just told me she plays minion rush in her lectures and I’m reconsidering this entire friendship 😠😠😠😠😠,7.30833881458826E-05
106,Nah chill shanaynay. You always find a way to beat the system 😂💁🏾‍♂️ https://t.co/V1FRD84IiX,0.1584447855
107,A six nation Rugby match will be super awesome 😂 https://t.co/oojVZgAn4k,0.1254841774
108,Great use for your old phone 📞 to help protect forests 🌳🌲🌳 https://t.co/f6tvAV7Ozl,0.2377402616
109,"Lmao Im weird though. I like the Wayans brothers more than both of those shows.

Don't mean it's better though. 🙏🏾 https://t.co/DcpjMVaPTb",0.1398085215
110,I'd prolly pick Martin over the Jamie Foxx show 🤷🏾‍♂️,0.1184681722
111,"MA GALS 💕 @ Edinburgh, United Kingdom https://t.co/byk2cgExgr",0.15552145
112,"@ItsNatstar Awesome, thanks. We had a service contract with a dealer, who then moved to Glasgow 😒 — but apparently… https://t.co/jhmTyssRgk",0.0819995615
113,Happy bday u legend! Hope you have the best night tomorrow! 😘❤️@carolyn_mclaren https://t.co/kaYrNXeKeu,0.2150844113
114,DON’T @MissSaigonUK @edtheatres !!!! 🌅🚁  #misssaigon #uktour #giwilliams #musical #theatre #edinburgh #scotland… https://t.co/aCp5L2ouYH,0.1444858584
115,@RossHunterUK @RENTonstage I LOVE this pic!! 😍 Miss this epic cast 😭,0.1520865307
116,Class date! #miller&amp,carter #nom 😋 https://t.co/k7bFzId8Zy
117,engagement ring cleaned♥️💍💎😍 #gleaming,0.2828327121
118,Ya can always rely on Apple Music to churn out the bangers 👌🏻,0.1504786962
119,"Caaaaaake 😍😍😍

📷: @abbiestrachan13 @ Edinburgh, United Kingdom https://t.co/5w4AgwY1bU",0.2894102171
120,@taylorrrr1212 Babyyy😍😍😍,0.2579843602
121,"@jimmymccaff Jimmy, what's the venue and kick off time please? Good luck!❤️💛",0.2156690784
122,😭😭😭😭😭 https://t.co/l5ZnvNKy7z,0.0753489732
123,"TGIF! 🍴🍹#weekend#edinburgh#cocktails
#cheekyweekend 🍹🍹🍹 @ Edinburgh,… https://t.co/xmLQLhHujA",0.3412263393
124,😂😂😂😂😂😂😂😂😂 this is amazing  https://t.co/nIYfbhSeUW,0.2546956077
125,Hacked 😂 https://t.co/WFOlEvwm1j,0.1254841774
126,@EdinburghRugby Why oh why is Sam leaving 😬😬,0.1376891033
127,@GinAndCuriosity @alix_macdonald Hmm yeah sounds totally lame 😭😭😭,0.0889424834
128,@BlackBullEdi Where is DJ Mike ????? I am so upset 💔,0.1004896587
